  -3.2179377e+01   8.2260530e+00   3.3210161e+01
  -3.1699808e+01   8.0881040e+00   3.2913389e+01
  -3.1214900e+01   7.9288020e+00   3.2662787e+01
  -3.0781377e+01   1.3247853e+01   2.8408361e+01
  -3.0744170e+01   1.3750072e+01   2.8097757e+01
  -3.0724687e+01   7.7513370e+00   3.2488635e+01
  -3.0654649e+01   1.4224457e+01   2.7788237e+01
  -3.0547577e+01   1.0854353e+01   4.2072661e+01
  -3.0523225e+01   1.4666197e+01   2.7479807e+01
  -3.0360310e+01   1.5070482e+01   2.7172470e+01
  -3.0338577e+01   1.2275653e+01   3.2749561e+01
  -3.0310077e+01   5.1828530e+00   3.2334461e+01
  -3.0299863e+01   5.3317560e+00   3.1691918e+01
  -3.0272314e+01   5.4510170e+00   3.1197622e+01
  -3.0229178e+01   7.5566270e+00   3.2402943e+01
  -3.0176317e+01   1.5432503e+01   2.6866230e+01
  -3.0126940e+01   8.5451720e+00   4.6324419e+01
  -3.0107456e+01   8.6662280e+00   4.5882252e+01
  -3.0100577e+01   1.9154353e+01   3.2260261e+01
  -3.0097094e+01   1.2306295e+01   3.2264484e+01
  -3.0080435e+01   8.4192400e+00   4.6716269e+01
  -3.0040722e+01   1.0838918e+01   4.2580285e+01
  -3.0026553e+01   5.5461710e+00   3.0821233e+01
  -3.0025982e+01   8.7823660e+00   4.5391154e+01
  -2.9994277e+01   5.0171530e+00   3.8434761e+01
  -2.9980526e+01   1.5747819e+01   2.6561212e+01
  -2.9910735e+01   5.9442960e+00   3.7902596e+01
  -2.9888431e+01   5.9614550e+00   3.7398338e+01
  -2.9886391e+01   5.9869210e+00   3.8402748e+01
  -2.9882877e+01   5.3867740e+00   3.8796133e+01
  -2.9860092e+01   1.2389310e+01   3.1802768e+01
  -2.9837877e+01   8.8933530e+00   4.4858961e+01
  -2.9826213e+01   8.2878940e+00   4.7075817e+01
  -2.9819988e+01   6.0959720e+00   3.8899301e+01
  -2.9812789e+01   6.0287130e+00   3.6889236e+01
  -2.9791673e+01   1.1047429e+01   4.0279625e+01
  -2.9779273e+01   1.1028475e+01   3.9763335e+01
  -2.9771494e+01   5.7563970e+00   3.9157507e+01
